Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV_ROC-AUC
RandomForest,0.8299319727891157,0.42857142857142855,0.19148936170212766,0.2647058823529412,0.7988629511585839,0.7935064517467887
GradientBoosting,0.8435374149659864,0.5294117647058824,0.19148936170212766,0.28125,0.7973985700749419,0.7939425541377826
XGBoost_Recall,0.8435374149659864,0.5151515151515151,0.3617021276595745,0.42500000000000004,0.7915410457403739,0.7967328905269078
XGBoost_Optimized,0.8435374149659864,0.5142857142857142,0.3829787234042553,0.43902439024390244,0.7899905245929882,0.8060784078828584
