Model,Accuracy,Precision,Recall,F1,ROC_AUC
XGBoost,0.8163265306122449,0.42857142857142855,0.44680851063829785,0.4375,0.7363252648806962
RandomForest,0.8197278911564626,0.42105263157894735,0.3404255319148936,0.3764705882352941,0.7601860625376863
GradientBoosting,0.8401360544217688,0.5,0.2978723404255319,0.3733333333333333,0.7816349384098544
